content,sentiment
"yah, at least km uda bikin bahagia",pos
"@tubirfess HAHA kalopun korban pake baju minim, manusia diberi akal, manusia bisa pake akalnya untuk ngendaliin nafsu. gabakal asal liat yg terbuka langsung disamber kalo bukan dianya yang bermasalah. apa pemerkosa ini bukan manusia? apa pemerkosa ga diberi akal? lagian bu ning siapa si jir",neg
tapi ko gua linglung banget sih wkwkwk kayak udah di matraman tp gua bingung gua harus kemana lagi setelah ini untuk menuju kosan padahal cuma perlu duduk nungguin kondekturnya nyebutin halte yg gua tuju wkwk,neg
"saat patokan gua bangunan tinggi sebagai titik awal peradaban alias patokan jalan raya, pas liat sekeliling, bangunannya tinggi semua......",neg
"@nctconfess SAMA\ngua kira xiaojun koplak rapper pula, trnyt dia paling kalem diantara 3 itu 😭😭😭\ndery ama yangyang w kira vokalis trus jaim jaim gmn gitu trnyt paling koplak hadeh 😭😂💗\n\ntp cinta bgt ama mereka huhu",pos
kenapa gojek gua gabisa log in ya padahal internet juga lancar:( sayang bgt saldo gopaynya,pos
"@ivranssaragih_ Perokok, jelek tp bnyk uang gapapa",neg
merasa muka lg jelek bingbing wkwk,neg
tadi gue pulang dari bank naik ojol trs diperjalanan abangnya agak ngebut dan tiba2 helm yg gue pake merosot ke belakang. leher gue kecekek tali pengait helmnya dong😭 untung ga ikut ngejengkang :(,neg
@teudoongii lah iya juga ya kak.. jangan hari ini merchnya.. sedang krisis... :(,neg
@ltgindhs_0922jy @ahgasession Gapapa biar bahagia,pos
Cc. Yang Terhormat 🙏\n@jokowi @Kiyai_MarufAmin @chedetofficial @FIFAcom @FIFAWorldCup @theafcdotcom @KemenporaRI @PSSI @iriawan84 @Dr_Moeldoko @Zainudin_Amali @AFFPresse @Menlu_RI @kbrikualalumpur @fadjroeL @dHendropriyono @pramonoanung @KSPgoid @KemensetnegRI @setkabgoid,pos
